time,flux,flux_err
137.78506220276176,30182.691,6.040224
137.805496596593,30173.727,6.0371113
137.82593089037255,30173.889,6.039931
137.84636538421182,30184.572,6.0371737
137.86679977792664,30177.158,6.042356
137.88723417170695,30183.73,6.039261
137.9076684654283,30177.65,6.039331
137.92810295914387,30185.91,6.0380983
137.94853735280776,30197.027,6.0397563
137.9689716464709,30182.637,6.036348
137.98940614007006,30187.797,6.029671
138.00984053367574,30191.627,6.040461
138.03027482728066,30195.846,6.036885
138.05070922082814,30190.844,6.0414224
138.0711437143691,30193.729,6.039715
138.09157810791658,30201.115,6.038158
138.1120124013978,30207.62,6.038087
138.13244689488783,30206.9,6.0387073
138.1528812883189,30205.135,6.038218
138.17331558174192,30214.31,6.0412908
138.19374997511477,30221.838,6.040931
138.21418446848838,30218.324,6.038714
138.23461886185396,30218.15,6.038536
138.25505315516784,30211.33,6.0418286
138.27548764848325,30217.963,6.040946
138.2959220417324,30216.383,6.034621
138.3163563349881,30221.688,6.0403247
138.33679072824452,30217.605,6.037167
138.35722522143624,30225.982,6.0423355
138.37765961463447,30214.36,6.0366955
138.39809390777373,30223.633,6.040154
138.41852840090723,30213.96,6.0383983
138.43896279404726,30213.855,6.039545
138.4593970870701,30214.56,6.0380836
138.47983148008643,30217.293,6.0417933
138.5002659731108,30209.738,6.0337887
138.52070026613364,30207.611,6.039831
138.54113465914998,30220.873,6.037914
138.56156905205717,30211.154,6.0394764
138.58200344496436,30210.098,6.0401797
138.60243783786427,30195.447,6.037911
138.62287223077146,30204.809,6.0376706
138.64330662367865,30219.025,6.037234
138.66374101646215,30196.385,6.036372
138.68417540925293,30180.676,6.0307
138.70460970204294,29759.729,6.014265
138.7250441948272,29581.736,5.9978337
138.74547858750157,29550.186,6.0001593
138.76591288017516,29682.037,6.008849
138.786347372843,30150.95,6.0351043
138.80678176551737,30184.387,6.0377536
138.82721605819097,30184.965,6.0383563
138.84765045074164,30176.465,6.033317
138.86808494330035,30171.441,6.0350647
138.8885193358583,30173.22,6.0371914
138.90895362829906,30166.232,6.0347133
138.9293881208505,30173.145,6.0358405
138.94982251329202,30166.47,6.040335
138.9702568057255,30157.107,6.0356255
138.99069119805063,30162.654,6.035704
139.01112569049292,30150.984,6.037038
139.03155998281727,30139.848,6.0327635
139.0519943751351,30141.04,6.0376673
139.07242886746099,30133.322,6.034476
139.09286315966165,30120.24,6.0338416
139.11329755187035,30128.072,6.0360293
139.13373194407905,30115.3,6.0327697
139.15416633628774,30112.584,6.033024
139.17460072848917,30119.643,6.0298815
139.19503512058145,30110.217,6.028842
139.21546941267297,30099.06,6.029601
139.23590390475874,30094.766,6.0281715
139.2563382967346,30100.213,6.0305395
139.27677258882613,30089.994,6.027194
139.2972070807955,30092.242,6.026495
139.31764147265494,30072.135,6.0323496
139.33807586462353,30057.596,6.0303764
139.35851015648223,30048.496,6.0267158
139.37894464834244,30048.902,6.0266476
139.3993790402019,30047.79,6.0289273
139.4198133320533,30031.0,6.0259676
139.4402478237971,30033.78,6.0310063
139.46068221553287,30023.627,6.023959
139.48111650727515,30022.238,6.0227203
139.50155089901818,30010.412,6.025667
139.52198539064557,29995.553,6.0191026
139.54241968226415,29990.95,6.0241785
139.56285407389078,29995.854,6.025156
139.58328856539447,29972.982,6.0255194
139.60372285702033,29972.701,6.02044
139.62415724853054,29967.592,6.0227766
139.64459163992433,29960.953,6.017241
139.66502613142802,29946.672,6.020013
139.68546042282105,29936.854,6.0213094
139.70589481421484,29939.816,6.0170364
139.72632920560136,29927.068,6.0117583
139.74676359687874,29923.465,6.0164523
139.76719798827253,29918.531,6.0183363
139.78763237954263,29915.863,6.0204225
139.8080667707036,29900.182,6.012122
139.82850116198097,29886.414,6.0127087
139.84893555313465,29890.375,6.012538
139.8693699442956,29875.246,6.009468
139.88980433534016,29869.506,6.0131407
139.91023872649384,29849.398,6.009267
139.9306731175384,29841.22,6.0085363
139.95110760857642,29837.557,6.003053
139.9715418995038,29837.133,6.0104795
139.99197629054834,29834.723,6.007717
140.0124105814757,29808.955,6.012107
140.0328450722809,29795.463,6.0102954
140.05327946320904,29803.338,6.005427
140.07371385401348,29786.123,6.0062084
140.0941482448252,29776.3,6.0046663
140.1145826356369,29756.727,6.0048065
140.1350170263322,29787.656,6.008987
140.15545131701947,29751.162,6.0010166
140.17588580771553,29638.443,5.9963756
140.19632019828714,29173.135,5.9648094
140.21675448898168,29160.521,5.9650526
140.23718897956132,29120.326,5.963109
140.2576233700238,29320.768,5.9745393
140.27805766059464,29688.639,6.0004635
140.2984920510571,29688.459,5.9951396
140.31892654151306,29685.27,5.999487
140.33936083185836,29686.17,6.003745
140.35979522232083,,
140.38022961266688,29661.254,5.9972467
140.40066410289,29650.85,6.001033
140.4210983932353,29642.863,5.9959884
140.44153278346494,29666.732,5.9998765
140.46196727368806,29643.596,5.987526
140.48240156380052,29623.812,5.9878182
140.50283595403016,29627.309,5.992539
140.52327024401893,29619.46,5.9991207
140.54370473413292,29615.06,5.9983616
140.56413912424614,29607.018,5.994063
140.58457351423567,29590.441,5.9876127
140.60500790411606,29587.236,5.994237
140.62544229411287,29582.389,5.9860644
140.645876683986,29583.697,5.986533
140.66631097386562,29577.363,5.99091
140.68674546374677,29551.28,5.9902024
140.70717985350348,29562.943,5.987792
140.7276141432667,29574.252,5.992033
140.74804863303143,29558.03,5.990353
140.76848302267172,29556.676,5.988259
140.78891731243493,29534.656,5.991679
140.80935170196608,29534.898,5.992943
140.82978619160713,29533.336,5.9828243
140.85022058113827,29522.22,5.987931
140.87065487066866,29518.404,5.991001
140.89108926019253,29514.22,5.9928594
140.91152374960802,29516.072,5.9924035
140.931958039022,29507.008,5.992744
140.95239242842945,29495.607,5.9910893
140.97282691772853,29509.11,5.9912677
140.99326120702608,29487.164,5.9913807
141.01369559631712,29496.207,5.9883432
141.03412998561544,29494.018,5.986702
141.05456437479734,29487.883,5.9860315
141.07499876397196,29491.73,5.988067
141.09543315303745,29488.736,5.987686
141.11586754221935,29488.234,5.987554
141.13630193127756,29478.16,5.990141
141.15673632022663,29469.121,5.987056
141.17717060929135,29466.209,5.9862404
141.1976050982339,29475.373,5.9901175
141.21803948706656,29454.803,5.986101
141.23847377601487,29467.781,5.9869223
141.258908264841,29467.326,5.99053
141.27934265355725,29461.47,5.990478
141.29977694238914,29471.695,5.9904375
141.3202113310981,29468.27,5.9891496
141.3406458198151,29458.39,5.9859147
141.36108020841493,29451.607,5.9915056
141.38151449700672,29462.605,5.991845
141.40194888560654,29451.863,5.9892836
141.42238337420713,29439.557,5.988169
141.44281776268326,29442.252,5.9823647
141.4632520511659,29449.154,5.9871716
141.48368653953366,29454.357,5.987797
141.50412092789338,29459.432,5.9911795
141.5245552162596,29454.518,5.9872675
141.5449896046266,29454.814,5.9892764
141.5654239928699,29443.506,5.988428
141.58585848112125,29453.549,5.9914355
141.60629276937107,29434.729,5.988764
141.62672725749871,29447.34,5.9883537
141.64716164563288,29441.742,5.9880075
141.66759593364986,29214.79,5.9731994
141.68803032166034,28892.773,5.9567
141.70846480967884,28826.527,5.9498525
141.72889909769583,28896.91,5.9554515
141.7493334855899,29233.84,5.972213
141.76976797349198,29456.414,5.9902
141.79020226139255,29451.58,5.9898443
141.8106366491702,29464.033,5.987159
141.8310710369551,29472.752,5.9896493
141.8515054246236,29469.234,5.9904714
141.87193981228484,29458.053,5.9888973
141.89237419995334,29460.068,5.9866467
141.9128086876226,29470.111,5.9897523
141.93324297516665,29465.938,5.986593
141.95367736271874,29466.928,5.990299
141.97411165015365,29488.367,5.9909577
141.99454613769922,29473.152,5.9909368
142.01498052501847,29480.547,5.9905744
142.03541481245338,29479.977,5.990265
142.05584919976536,29489.227,5.9901695
142.07628368708538,29477.547,5.987339
142.09671807428822,29491.76,5.9878387
142.1171523614903,29498.19,5.990234
142.13758684868662,29497.316,5.9942737
142.15802123588946,29496.6,5.9904523
142.17845552285144,29500.14,5.9895043
142.19888990993786,29504.559,5.990239
142.21932439702505,29506.725,5.9916234
142.2397586839943,29519.104,5.9928594
142.26019307084061,29519.154,5.995083
142.28062755769497,29532.219,5.9921193
142.30106184454053,29525.527,5.992887
142.32149623139412,29540.527,5.993581
142.3419306181313,29548.998,5.9917083
142.36236510486196,29545.05,5.993728
142.38279939159838,29537.477,5.9870486
142.40323377821915,29551.896,5.9899645
142.4236682648334,29545.611,5.994893
142.44410255133698,29561.07,5.993257
142.46453693784133,29570.393,5.9913707
142.48497122434492,29569.373,5.9924145
142.50540571072634,29585.42,5.993375
142.52584009711427,29578.453,5.9963408
142.54627448349493,29588.844,5.99263
