time,flux,flux_err,flux_norm,flux_err_norm
298.2712549181888,30404.527,7.2541533,1.0671695679851028,0.00025461378311389973
298.2916877490352,30377.793,7.253758,1.0662312303740453,0.00025459990846522573
298.31212067975866,30399.61,7.2546587,1.066996986028285,0.0002546315221663658
298.3325534104879,30366.0,7.2519336,1.065817307450158,0.0002545358737851324
298.35298624098505,30388.06,7.2519383,1.066591592169988,0.00025453603875059857
298.3734191713593,30380.303,7.253038,1.0663193289527748,0.00025457463715977343
298.39385190173925,30373.668,7.251199,1.066086446853225,0.00025451009003376403
298.4142847318872,30386.72,7.2538095,1.0665445594626184,0.00025460171606554624
298.4347175619114,30355.523,7.252332,1.065449574856792,0.00025454985724081606
298.45515039182646,30382.668,7.2523484,1.0664023381713785,0.0002545504328649958
298.4755832216252,30369.67,7.253436,1.065946120909894,0.00025458860657584287
298.4960160513001,30383.424,7.253471,1.0664288730421034,0.00025458983504208013
298.51644888086594,30378.578,7.253287,1.0662587831167953,0.00025458337681957566
298.53688171031536,30369.078,7.2515197,1.0659253422809667,0.00025452134629440094
298.55731453952467,30382.656,7.2530856,1.0664019169829544,0.00025457630787385614
298.577747468742,30375.836,7.2530727,1.0661625415618645,0.0002545758550963001
298.59818019784143,30374.393,7.252943,1.066111893653854,0.0002545713027514151
298.6186130267015,30362.174,7.25195,1.0656830185409074,0.0002545364494093122
298.6390457555681,30370.904,7.253212,1.0659894331195163,0.0002545807443919244
298.65947868431977,30380.295,7.2518244,1.066319048160492,0.0002545320409704722
298.6799115128306,30358.365,7.2518897,1.0655493263152578,0.0002545343329374806
298.7003442413479,30392.0,7.251855,1.0667298823692684,0.0002545331150009539
298.72077716963395,30382.756,7.25216,1.0664054268864893,0.0002545438202067358
298.74120999791194,30373.434,7.2519097,1.066078233678953,0.00025453503491818755
298.7616428259644,30398.918,7.252511,1.0669726974958225,0.00025455613996814376
298.78207555389963,30384.232,7.253375,1.0664572330626665,0.0002545864655346865
298.80250848182914,30397.273,7.2546353,1.066914959582671,0.0002546307008489386
298.8229413095323,30373.197,7.2523327,1.066069915207575,0.0002545498818101408
298.84337403711834,30374.598,7.2518783,1.066119088956101,0.0002545339328084776
298.8638069645822,30385.135,7.2523417,1.0664889274915879,0.0002545501977014589
298.8842397919361,30371.521,7.2526417,1.0660110892243277,0.00025456072741206404
298.9046725192893,30392.168,7.253112,1.0667357790072074,0.00025457723448838934
298.9251054464039,30372.008,7.2528152,1.0660281824545434,0.00025456681709469737
298.9455382734086,30385.836,7.254185,1.0665135319153685,0.0002546148957533203
298.9659710002961,30392.857,7.253384,1.0667599622425636,0.00025458678142600464
298.9864038270607,30392.176,7.2533474,1.0667360597994902,0.00025458549680131085
299.0068367537169,30380.875,7.254003,1.0663394056009952,0.0002546085077288866
299.0272694802552,30375.467,7.254047,1.0661495900178204,0.000254610052086442
299.04770230667054,30399.852,7.2538567,1.0670054799948396,0.0002546033727400148
299.0681352329775,30401.232,7.2537866,1.0670539166636233,0.00025460091229763675
299.0885680591673,30390.434,7.254264,1.0666749172799097,0.000254617668577113
299.10900078523264,30393.842,7.2537575,1.066794534792384,0.000254599890915708
299.12943371107394,30367.105,7.255206,1.0658560918842204,0.0002546507318684131
299.1498664369137,30219.154,7.2448225,1.0606631545050937,0.00025428628103485223
299.1702992626306,29845.322,7.2241488,1.047542011921984,0.00025356065410772876
299.1907320882383,29781.49,7.221514,1.0453015702974975,0.00025346817516938753
299.2111649137296,29857.15,7.223654,1.0479571633121085,0.00025354328710503734
299.2315977389808,30117.174,7.2389703,1.0570837548800602,0.00025408087446017463
299.25203056423925,30430.94,7.2555437,1.0680966388058128,0.0002546625848126509
299.2724633893813,30413.021,7.2558765,1.0674676991913692,0.0002546742657716155
299.29289621428325,30406.809,7.2561426,1.0672496639837725,0.0002546836056249223
299.31332903919247,30407.113,7.2558146,1.0672603340905191,0.00025467209314132734
299.3337617639845,30412.94,7.255308,1.0674648561695057,0.0002546543119700188
299.354194688538,30433.355,7.256009,1.068181402976184,0.00025467891639379943
299.37462751309795,30421.639,7.2548814,1.0677701826780188,0.00025463933872153837
299.39506023754075,30450.252,7.2560687,1.0687744713764997,0.00025468101180620986
299.4359259859557,30429.139,7.2551417,1.0680334254431467,0.0002546484750004401
299.45635871004924,30451.537,7.2566295,1.068819573636925,0.00025470069534523436
299.4767916339042,30420.957,7.255515,1.0677462451359099,0.00025466157747033635
299.4972244577657,30443.65,7.2572474,1.0685427475451166,0.0002547223830391774
299.5176571813936,30440.23,7.25714,1.068422708844218,0.00025471861340278074
299.53809000502224,30448.936,7.2567344,1.0687282810459786,0.00025470437723404263
299.55852292841155,30440.564,7.2579894,1.0684344319220251,0.00025474842652340737
299.5789556518066,30441.787,7.257194,1.0684773580422586,0.0002547205087506897
299.59938847507874,30462.57,7.2583184,1.0692068212939458,0.00025475997410603766
